year,tariff_bdt_kwh,months_averaged,basis
2015,6.3,12,calendar-year average of the BERC weighted-average retail tariff schedule in data/berc_tariff_orders.csv (pre-Sep-2015 level 6.24 = 6.42 - 0.18)
2016,6.42,12,calendar-year average of the BERC weighted-average retail tariff schedule in data/berc_tariff_orders.csv (pre-Sep-2015 level 6.24 = 6.42 - 0.18)
2017,6.449,12,calendar-year average of the BERC weighted-average retail tariff schedule in data/berc_tariff_orders.csv (pre-Sep-2015 level 6.24 = 6.42 - 0.18)
2018,6.77,12,calendar-year average of the BERC weighted-average retail tariff schedule in data/berc_tariff_orders.csv (pre-Sep-2015 level 6.24 = 6.42 - 0.18)
2019,6.77,12,calendar-year average of the BERC weighted-average retail tariff schedule in data/berc_tariff_orders.csv (pre-Sep-2015 level 6.24 = 6.42 - 0.18)
2020,7.07,12,calendar-year average of the BERC weighted-average retail tariff schedule in data/berc_tariff_orders.csv (pre-Sep-2015 level 6.24 = 6.42 - 0.18)
2021,7.13,12,calendar-year average of the BERC weighted-average retail tariff schedule in data/berc_tariff_orders.csv (pre-Sep-2015 level 6.24 = 6.42 - 0.18)
2022,7.13,12,calendar-year average of the BERC weighted-average retail tariff schedule in data/berc_tariff_orders.csv (pre-Sep-2015 level 6.24 = 6.42 - 0.18)
2023,8.154,12,calendar-year average of the BERC weighted-average retail tariff schedule in data/berc_tariff_orders.csv (pre-Sep-2015 level 6.24 = 6.42 - 0.18)
2024,8.892,12,calendar-year average of the BERC weighted-average retail tariff schedule in data/berc_tariff_orders.csv (pre-Sep-2015 level 6.24 = 6.42 - 0.18)
2025,8.95,12,calendar-year average of the BERC weighted-average retail tariff schedule in data/berc_tariff_orders.csv (pre-Sep-2015 level 6.24 = 6.42 - 0.18)
2026,8.95,3,calendar-year average of the BERC weighted-average retail tariff schedule in data/berc_tariff_orders.csv (pre-Sep-2015 level 6.24 = 6.42 - 0.18)
