$ python run_recovery.py
Failed to find real location of C:\Users\user\.claude-science\conda\envs\suppressed-demand\python.exe
[1/36] 2019 a=0.40 s=0 fixed (113s elapsed)
[2/36] 2019 a=0.40 s=1 fixed (205s elapsed)
[3/36] 2019 a=0.40 s=2 fixed (293s elapsed)
[4/36] 2019 a=0.60 s=0 fixed (375s elapsed)
[5/36] 2019 a=0.60 s=1 fixed (460s elapsed)
[6/36] 2019 a=0.60 s=2 fixed (531s elapsed)
[7/36] 2019 a=1.00 s=0 fixed (610s elapsed)
[8/36] 2019 a=1.00 s=1 fixed (683s elapsed)
[9/36] 2019 a=1.00 s=2 fixed (753s elapsed)
[10/36] 2020 a=0.40 s=0 fixed (846s elapsed)
[11/36] 2020 a=0.40 s=1 fixed (953s elapsed)
[12/36] 2020 a=0.40 s=2 fixed (1046s elapsed)
[13/36] 2020 a=0.60 s=0 fixed (1125s elapsed)
[14/36] 2020 a=0.60 s=1 fixed (1211s elapsed)
[15/36] 2020 a=0.60 s=2 fixed (1312s elapsed)
[16/36] 2020 a=1.00 s=0 fixed (1388s elapsed)
[17/36] 2020 a=1.00 s=1 fixed (1461s elapsed)
[18/36] 2020 a=1.00 s=2 fixed (1569s elapsed)
[19/36] 2021 a=0.40 s=0 fixed (1663s elapsed)
[20/36] 2021 a=0.40 s=1 fixed (1746s elapsed)
[21/36] 2021 a=0.40 s=2 fixed (1881s elapsed)
[22/36] 2021 a=0.60 s=0 fixed (2005s elapsed)
[23/36] 2021 a=0.60 s=1 fixed (2139s elapsed)
[24/36] 2021 a=0.60 s=2 fixed (2260s elapsed)
[25/36] 2021 a=1.00 s=0 fixed (2387s elapsed)
[26/36] 2021 a=1.00 s=1 fixed (2487s elapsed)
[27/36] 2021 a=1.00 s=2 fixed (2599s elapsed)
[28/36] 2020 a=0.40 s=0 legacy (2718s elapsed)
[29/36] 2020 a=0.40 s=1 legacy (2785s elapsed)
[30/36] 2020 a=0.40 s=2 legacy (2878s elapsed)
[31/36] 2020 a=0.60 s=0 legacy (2967s elapsed)
[32/36] 2020 a=0.60 s=1 legacy (3096s elapsed)
[33/36] 2020 a=0.60 s=2 legacy (3219s elapsed)
[34/36] 2020 a=1.00 s=0 legacy (3345s elapsed)
[35/36] 2020 a=1.00 s=1 legacy (3446s elapsed)
[36/36] 2020 a=1.00 s=2 legacy (3582s elapsed)

[exit 0, 3591s]
