year,hours,balanced_hours,unbalanced_pct,G_GWh,avg_cost_BDT_kWh,cost_bn_BDT,delivered_GWh,share_gas_pct,share_liquid_fuel_pct,share_coal_pct,share_hydro_pct,share_solar_pct,share_wind_pct,share_india_bheramara_hvdc_pct,share_india_tripura_pct,share_india_adani_pct,share_nepal_pct,tariff_bdt_kwh,revenue_bn_BDT,gap_bn_BDT,gap_mUSD_at_122
2015,5820,5752,1.17,34133.0,10.82,369.33,30369.7,71.1,17.65,1.94,2.21,0.0,0.0,7.1,0.0,0.0,0.0,6.3,191.32911,178.00089,1459.0236885245902
2016,8388,8316,0.86,53852.0,11.806,635.8,47914.6,66.58,22.25,2.06,1.6,0.0,0.0,6.65,0.87,0.0,0.0,6.42,307.611732,328.18826799999994,2690.0677704918025
2017,7751,7657,1.21,53483.3,11.987,641.08,47586.5,65.13,23.19,1.83,1.79,0.0,0.0,6.59,1.47,0.0,0.0,6.449,306.8853385,334.19466150000005,2739.300504098361
2018,8326,8190,1.63,63132.1,11.901,751.33,56171.5,65.59,22.38,2.74,1.34,0.02,0.0,6.43,1.5,0.0,0.0,6.77,380.281055,371.04894500000006,3041.3847950819677
2019,8312,8193,1.43,69025.3,10.584,730.59,61415.0,70.18,15.57,2.8,1.16,0.08,0.0,8.78,1.43,0.0,0.0,6.77,415.77955,314.81045000000006,2580.413524590165
2020,8406,8277,1.53,70169.7,11.102,779.0,62433.2,66.04,17.07,6.35,0.97,0.11,0.0,8.15,1.31,0.0,0.0,7.07,441.402724,337.597276,2767.190786885246
2021,8387,8324,0.75,78510.3,12.222,959.58,69854.2,61.36,22.76,5.81,0.85,0.28,0.0,7.77,1.16,0.0,0.0,7.13,498.060446,461.519554,3782.9471639344265
2022,8383,8303,0.95,83686.9,13.842,1158.4,74460.0,50.64,29.8,8.69,0.87,0.52,0.0,8.34,1.13,0.0,0.0,7.13,530.8998,627.5002000000001,5143.444262295083
2023,8377,8318,0.7,88071.9,11.758,1035.53,78361.6,51.62,15.49,21.97,0.76,0.92,0.03,8.04,1.16,0.0,0.0,8.154,638.9604864,396.56951359999994,3250.569783606557
2024,8407,8362,0.54,93439.0,11.593,1083.24,83136.9,46.16,11.6,29.43,0.96,1.09,0.11,7.33,0.72,2.6,0.0,8.892,739.2533148,343.9866852,2819.5629934426233
2025,8390,8375,0.18,99841.6,11.524,1150.56,88833.6,42.87,9.02,29.73,0.95,1.31,0.08,7.22,0.44,8.25,0.13,8.95,795.0607199999998,355.4992800000001,2913.928524590165
2026,1540,1537,0.19,15495.6,11.119,172.3,13787.2,41.5,5.36,32.72,0.54,1.6,0.08,7.53,1.05,9.62,0.0,8.95,123.39543999999998,48.90456000000003,400.85704918032815
