treatment,year,days,lower_SG_pp,upper_pp
interp,2022,365,2.136599780448032,7.121999268160106
interp,2023,365,2.972802575500174,9.909341918333913
interp,2024,366,2.262885512296556,7.542951707655187
interp,2025,365,0.3685229263237944,1.228409754412648
equal_weight,2022,365,2.123270550114383,7.077568500381277
equal_weight,2023,365,2.9453206343691116,9.81773544789704
equal_weight,2024,366,2.233703589773997,7.44567863257999
equal_weight,2025,365,0.36118804029759016,1.2039601343253006
ffill_23,2022,365,2.1125512613611894,7.041837537870632
ffill_23,2023,365,2.932167065250232,9.773890217500774
ffill_23,2024,366,2.2420957164424693,7.473652388141565
ffill_23,2025,365,0.3670709138033753,1.2235697126779177
bfill_01,2022,365,2.160740088663296,7.202466962210986
bfill_01,2023,365,3.0135982406237622,10.045327468745874
bfill_01,2024,366,2.2837360156722757,7.612453385574252
bfill_01,2025,365,0.3699786046603187,1.2332620155343956
