spec,origin,n_train,h,target,S_over_G_pct,gap_pp,stratum
none,2017,698,1,2018,0.005015594339376939,-2.4831426725559393,normal
none,2017,698,2,2019,0.0035789355246372717,-0.029509592409980186,normal
none,2017,698,3,2020,0.005876116816190308,5.990962795044273,covid_break
none,2018,1059,1,2019,0.0035789355246372717,2.7552137670227284,normal
none,2018,1059,2,2020,0.005876116816190308,9.843644066398912,covid_break
none,2018,1059,3,2021,0.0007334072413230333,10.935790024435413,covid_break
none,2019,1417,1,2020,0.005876116816190308,6.307977469280712,covid_break
none,2019,1417,2,2021,0.0007334072413230333,6.34107857422027,covid_break
none,2020,1783,1,2021,0.0007334072413230333,-3.47682355778938,covid_break
+growth,2017,698,1,2018,0.005015594339376939,-16.426108028016667,normal
+growth,2017,698,2,2019,0.0035789355246372717,-25.14798819038707,normal
+growth,2017,698,3,2020,0.005876116816190308,33.13724912343613,covid_break
+growth,2018,1059,1,2019,0.0035789355246372717,3.5069947226567555,normal
+growth,2018,1059,2,2020,0.005876116816190308,4.827883701425291,covid_break
+growth,2018,1059,3,2021,0.0007334072413230333,10.151554823358795,covid_break
+growth,2019,1417,1,2020,0.005876116816190308,11.429231109653378,covid_break
+growth,2019,1417,2,2021,0.0007334072413230333,7.889740818413017,covid_break
+growth,2020,1783,1,2021,0.0007334072413230333,-1.8232310413533879,covid_break
+level,2017,698,1,2018,0.005015594339376939,-0.8177073622651103,normal
+level,2017,698,2,2019,0.0035789355246372717,3.727408758076236,normal
+level,2017,698,3,2020,0.005876116816190308,7.0930153264263724,covid_break
+level,2018,1059,1,2019,0.0035789355246372717,4.880589260247152,normal
+level,2018,1059,2,2020,0.005876116816190308,7.1152628527156185,covid_break
+level,2018,1059,3,2021,0.0007334072413230333,8.619406369842405,covid_break
+level,2019,1417,1,2020,0.005876116816190308,3.3865115457235784,covid_break
+level,2019,1417,2,2021,0.0007334072413230333,3.264382922492142,covid_break
+level,2020,1783,1,2021,0.0007334072413230333,-3.945690148008857,covid_break
