holdout,admitted,seed,mode,spec,n_train,n_test,n_cens_train,true_supp_pp,bias_pp,final_nll,diverged,max_abs_std_test,secs
2019,0.4,0,fixed,blind,1059,358,683,1.3857,0.5339,-1.835872,0,3.25043,38.6
2019,0.4,0,fixed,tobit,1059,358,683,1.3857,6.5772,-0.535003,0,3.25043,20.3
2019,0.4,0,fixed,icg,1059,358,683,1.3857,1.2154,0.967069,0,3.25043,36.8
2019,0.4,1,fixed,blind,1059,358,698,1.1667,0.3873,-1.837666,0,3.25043,32.5
2019,0.4,1,fixed,tobit,1059,358,698,1.1667,6.4623,-0.549433,0,3.25043,34.5
2019,0.4,1,fixed,icg,1059,358,698,1.1667,1.5407,0.943749,0,3.25043,36.7
2019,0.4,2,fixed,blind,1059,358,687,1.2113,0.3715,-1.854839,0,3.25043,27.6
2019,0.4,2,fixed,tobit,1059,358,687,1.2113,5.6271,-0.577932,0,3.25043,27.1
2019,0.4,2,fixed,icg,1059,358,687,1.2113,0.9277,0.869442,0,3.25043,22.7
2019,0.6,0,fixed,blind,1059,358,683,0.9238,0.7220,-1.891065,0,3.25043,27.5
2019,0.6,0,fixed,tobit,1059,358,683,0.9238,6.8520,-0.514289,0,3.25043,25.6
2019,0.6,0,fixed,icg,1059,358,683,0.9238,2.0451,0.733920,0,3.25043,23.6
2019,0.6,1,fixed,blind,1059,358,698,0.7778,0.8474,-1.875741,0,3.25043,20.1
2019,0.6,1,fixed,tobit,1059,358,698,0.7778,6.6961,-0.530961,0,3.25043,22.0
2019,0.6,1,fixed,icg,1059,358,698,0.7778,2.2281,0.685312,0,3.25043,24.1
2019,0.6,2,fixed,blind,1059,358,687,0.8075,0.6729,-1.895290,0,3.25043,19.9
2019,0.6,2,fixed,tobit,1059,358,687,0.8075,5.8014,-0.559956,0,3.25043,20.6
2019,0.6,2,fixed,icg,1059,358,687,0.8075,1.4265,0.642735,0,3.25043,22.8
2019,1.0,0,fixed,blind,1059,358,683,0.0000,1.3147,-1.931377,0,3.25043,18.6
2019,1.0,0,fixed,tobit,1059,358,683,0.0000,7.7850,-0.472868,0,3.25043,20.6
2019,1.0,0,fixed,icg,1059,358,683,0.0000,3.5297,0.526819,0,3.25043,22.2
2019,1.0,1,fixed,blind,1059,358,698,0.0000,1.6019,-1.903807,0,3.25043,19.5
2019,1.0,1,fixed,tobit,1059,358,698,0.0000,7.4304,-0.485839,0,3.25043,22.0
2019,1.0,1,fixed,icg,1059,358,698,0.0000,3.7117,0.490567,0,3.25043,25.4
2019,1.0,2,fixed,blind,1059,358,687,0.0000,1.2570,-1.928173,0,3.25043,21.0
2019,1.0,2,fixed,tobit,1059,358,687,0.0000,6.9298,-0.511171,0,3.25043,21.6
2019,1.0,2,fixed,icg,1059,358,687,0.0000,2.6454,0.472938,0,3.25043,24.7
2020,0.4,0,fixed,blind,1417,366,910,1.2183,4.0561,-1.691584,0,2.8895,22.4
2020,0.4,0,fixed,tobit,1417,366,910,1.2183,10.9627,-0.490311,0,2.8895,23.4
2020,0.4,0,fixed,icg,1417,366,910,1.2183,5.0265,0.960505,0,2.8895,26.4
2020,0.4,1,fixed,blind,1417,366,921,1.2485,4.9320,-1.659432,0,2.8895,21.5
2020,0.4,1,fixed,tobit,1417,366,921,1.2485,11.0430,-0.429278,0,2.8895,23.2
2020,0.4,1,fixed,icg,1417,366,921,1.2485,5.6182,1.103837,0,2.8895,27.3
2020,0.4,2,fixed,blind,1417,366,955,1.0514,5.0933,-1.681706,0,2.8895,23.2
2020,0.4,2,fixed,tobit,1417,366,955,1.0514,11.7454,-0.431872,0,2.8895,24.5
