holdout,admitted,seed,mode,spec,n_train,n_test,n_cens_train,true_supp_pp,bias_pp,final_nll,diverged,max_abs_std_test,secs
2019,0.4,0,fixed,blind,1059,358,683,1.3857,0.3801,-1.845165,0,3.25043,42.1
2019,0.4,0,fixed,tobit,1059,358,683,1.3857,6.6189,-0.535739,0,3.25043,32.4
2019,0.4,0,fixed,icg,1059,358,683,1.3857,1.2043,0.969089,0,3.25043,38.5
2019,0.4,1,fixed,blind,1059,358,698,1.1668,0.3965,-1.837661,0,3.25043,24.2
2019,0.4,1,fixed,tobit,1059,358,698,1.1668,6.4869,-0.549335,0,3.25043,27.2
2019,0.4,1,fixed,icg,1059,358,698,1.1668,1.5412,0.942440,0,3.25043,40.0
2019,0.4,2,fixed,blind,1059,358,687,1.2114,0.3353,-1.854158,0,3.25043,30.2
2019,0.4,2,fixed,tobit,1059,358,687,1.2114,5.6505,-0.577979,0,3.25043,26.5
2019,0.4,2,fixed,icg,1059,358,687,1.2114,0.9716,0.866039,0,3.25043,31.3
2019,0.6,0,fixed,blind,1059,358,683,0.9238,0.7592,-1.892152,0,3.25043,24.1
2019,0.6,0,fixed,tobit,1059,358,683,0.9238,6.8676,-0.514423,0,3.25043,30.9
2019,0.6,0,fixed,icg,1059,358,683,0.9238,2.0609,0.736216,0,3.25043,27.4
2019,0.6,1,fixed,blind,1059,358,698,0.7779,0.8463,-1.861120,0,3.25043,30.4
2019,0.6,1,fixed,tobit,1059,358,698,0.7779,6.7133,-0.530970,0,3.25043,29.7
2019,0.6,1,fixed,icg,1059,358,698,0.7779,2.2448,0.684069,0,3.25043,24.8
2019,0.6,2,fixed,blind,1059,358,687,0.8076,0.5556,-1.892225,0,3.25043,18.9
2019,0.6,2,fixed,tobit,1059,358,687,0.8076,5.8833,-0.562474,0,3.25043,32.5
2019,0.6,2,fixed,icg,1059,358,687,0.8076,1.4646,0.645623,0,3.25043,19.3
2019,1.0,0,fixed,blind,1059,358,683,0.0000,1.3410,-1.933075,0,3.25043,24.2
2019,1.0,0,fixed,tobit,1059,358,683,0.0000,7.7850,-0.474332,0,3.25043,23.8
2019,1.0,0,fixed,icg,1059,358,683,0.0000,3.5545,0.525207,0,3.25043,31.3
2019,1.0,1,fixed,blind,1059,358,698,0.0000,1.5380,-1.898977,0,3.25043,16.3
2019,1.0,1,fixed,tobit,1059,358,698,0.0000,7.4448,-0.485911,0,3.25043,21.5
2019,1.0,1,fixed,icg,1059,358,698,0.0000,3.7380,0.491097,0,3.25043,35.1
2019,1.0,2,fixed,blind,1059,358,687,0.0000,1.2802,-1.915064,0,3.25043,21.1
2019,1.0,2,fixed,tobit,1059,358,687,0.0000,6.9897,-0.511277,0,3.25043,19.8
2019,1.0,2,fixed,icg,1059,358,687,0.0000,2.6494,0.472760,0,3.25043,29.1
2020,0.4,0,fixed,blind,1417,366,910,1.2186,4.0995,-1.692055,0,2.8895,26.2
2020,0.4,0,fixed,tobit,1417,366,910,1.2186,11.0033,-0.489585,0,2.8895,39.5
2020,0.4,0,fixed,icg,1417,366,910,1.2186,5.0657,0.962198,0,2.8895,27.9
2020,0.4,1,fixed,blind,1417,366,921,1.2487,4.9698,-1.659961,0,2.8895,22.7
2020,0.4,1,fixed,tobit,1417,366,921,1.2487,11.0622,-0.429408,0,2.8895,47.2
2020,0.4,1,fixed,icg,1417,366,921,1.2487,5.6445,1.100860,0,2.8895,37.1
