spec,year,gap_pp,boot_p05,boot_p95,bound_lower_pp,bound_upper_pp,inside_bound,G_TWh,unserved_TWh,bound_lower_TWh,bound_upper_TWh,cost_mUSD_voll40,cost_mUSD_voll90,cost_mUSD_voll180,bound_lower_mUSD_voll40,bound_lower_mUSD_voll90,bound_lower_mUSD_voll180,bound_upper_mUSD_voll40,bound_upper_mUSD_voll90,bound_upper_mUSD_voll180,boot_p05_mUSD_voll90,boot_p95_mUSD_voll90
none,2022,2.7798229008575963,0.6917254702374434,5.057590746475637,2.136599780448032,7.121999268160106,True,87.66562259999999,2.4369490532141924,1.8730635000000002,6.243545,798.9996895784236,1797.7493015514533,3595.4986031029066,614.1191803278689,1381.7681557377052,2763.5363114754105,2047.0639344262295,4605.893852459017,9211.787704918033,447.34827553261397,3270.812766239401
none,2023,7.941663648555785,5.225044440800976,10.89690203273095,2.972802575500174,9.909341918333913,True,92.2160295,7.32348689294298,2.7414005,9.138001666666668,2401.143243587862,5402.57229807269,10805.14459614538,898.8198360655738,2022.3446311475411,4044.6892622950822,2996.0661202185797,6741.1487704918045,13482.297540983609,3554.504648053626,7412.968322770774
none,2024,10.558642904009098,7.2136430579654744,14.177687967767161,2.262885512296556,7.542951707655187,False,97.785305,10.324801167546154,2.2127695,7.375898333333334,3385.18071067087,7616.656599009458,15233.313198018916,725.4981967213115,1632.3709426229507,3264.7418852459014,2418.327322404372,5441.236475409836,10882.472950819672,5203.684081359492,10227.316294349572
none,2025,9.572584592580194,5.747776899726499,13.654805457952552,0.3685229263237944,1.228409754412648,False,104.440992,9.997702308529913,0.384889,1.2829633333333335,3277.9351831245617,7375.354162030264,14750.708324060528,126.19311475409836,283.9345081967213,567.8690163934426,420.64371584699467,946.4483606557379,1892.8967213114759,4428.468599032033,10520.567908491976
+growth,2022,4.0344492973418244,1.8782366395364876,6.424592713803613,2.136599780448032,7.121999268160106,True,87.66562259999999,3.5368250949960354,1.8730635000000002,6.243545,1159.614785244602,2609.133266800354,5218.266533600708,614.1191803278689,1381.7681557377052,2763.5363114754105,2047.0639344262295,4605.893852459017,9211.787704918033,1214.68119635728,4154.871542510784
+growth,2023,8.161796760324355,5.528059076083802,11.009972020253137,2.972802575500174,9.909341918333913,True,92.2160295,7.526484908230752,2.7414005,9.138001666666668,2467.6999699117223,5552.324932301374,11104.649864602748,898.8198360655738,2022.3446311475411,4044.6892622950822,2996.0661202185797,6741.1487704918045,13482.297540983609,3760.6401061811307,7489.8878209217555
+growth,2024,9.600972044552913,6.420237056200207,13.017027001101955,2.262885512296556,7.542951707655187,False,97.785305,9.3883397967308,2.2127695,7.375898333333334,3078.144195649443,6925.824440211247,13851.648880422494,725.4981967213115,1632.3709426229507,3264.7418852459014,2418.327322404372,5441.236475409836,10882.472950819672,4631.347170832422,9390.053770052386
+growth,2025,8.205502121827418,4.587455388402548,12.19898896106636,0.3685229263237944,1.228409754412648,False,104.440992,8.569907814617604,0.384889,1.2829633333333335,2809.805840858231,6322.063141931018,12644.126283862037,126.19311475409836,283.9345081967213,567.8690163934426,420.64371584699467,946.4483606557379,1892.8967213114759,3534.479937446366,9398.910308538836
+level,2022,2.8731651291062166,0.9460974810806055,5.046530451729788,2.136599780448032,7.121999268160106,True,87.66562259999999,2.5187780987570583,1.8730635000000002,6.243545,825.8288848383796,1858.1149908863542,3716.2299817727085,614.1191803278689,1381.7681557377052,2763.5363114754105,2047.0639344262295,4605.893852459017,9211.787704918033,611.8541167811533,3263.659923103902
+level,2023,7.308022416814822,4.731257538717252,10.084719163727767,2.972802575500174,9.909341918333913,True,92.2160295,6.739168107756569,2.7414005,9.138001666666668,2209.563314018547,4971.517456541731,9943.034913083462,898.8198360655738,2022.3446311475411,4044.6892622950822,2996.0661202185797,6741.1487704918045,13482.297540983609,3218.5902154606792,6860.454786158867
+level,2024,7.087289751957887,3.6782010643421907,10.614200558659704,2.262885512296556,7.542951707655187,True,97.785305,6.9303279001857625,2.2127695,7.375898333333334,2272.238655798611,5112.536975546875,10225.07395109375,725.4981967213115,1632.3709426229507,3264.7418852459014,2418.327322404372,5441.236475409836,10882.472950819672,2653.332882255928,7656.734057899497
+level,2025,2.666836523560328,-1.7815874268388525,7.330021186804531,0.3685229263237944,1.228409754412648,False,104.440992,2.7852705202247203,0.384889,1.2829633333333335,913.2034492540065,2054.7077608215145,4109.415521643029,126.19311475409836,283.9345081967213,567.8690163934426,420.64371584699467,946.4483606557379,1892.8967213114759,-1372.6531342163892,5647.534555063887
